,quarter,npo_sum
0,2005-01-01,69391.03
3,2005-04-01,71170.64
6,2005-07-01,234120912.53
10,2005-10-01,24186766.169999998
14,2006-01-01,28872008.89
18,2006-04-01,25292872.83
22,2006-07-01,30983447.74
26,2006-10-01,25001383.229999997
30,2007-01-01,24170377.880000003
34,2007-04-01,21945808.95
38,2007-07-01,20951485.29
42,2007-10-01,17380155.25
46,2008-01-01,16363396.25
50,2008-04-01,16245233.71
54,2008-07-01,16501050.76
58,2008-10-01,15632774.96
62,2009-01-01,16167106.96
66,2009-04-01,16717713.56
70,2009-07-01,17807556.43
74,2009-10-01,15756585.81
78,2010-01-01,15173578.120000001
82,2010-04-01,14998540.53
86,2010-07-01,13504187.149999999
90,2010-10-01,12513107.96
94,2011-01-01,12065425.33
98,2011-04-01,11750281.040000001
102,2011-07-01,11707708.73
106,2011-10-01,11142493.450000001
110,2012-01-01,10037272.65
114,2012-04-01,9424411.49
118,2012-07-01,9869945.82
122,2012-10-01,8713580.379999999
126,2013-01-01,8175730.930000001
130,2013-04-01,7626583.88
134,2013-07-01,8054386.18
138,2013-10-01,7073227.59
142,2014-01-01,6838382.42
146,2014-04-01,6662577.9799999995
150,2014-07-01,6772727.17
154,2014-10-01,6499428.37
158,2015-01-01,6252560.81
162,2015-04-01,5994330.029999999
166,2015-07-01,26601304.97
170,2015-10-01,6283446.86
174,2016-01-01,5969858.4
178,2016-04-01,6156898.27
182,2016-07-01,7161629.99
186,2016-10-01,5879874.59
190,2017-01-01,5809808.1899999995
194,2017-04-01,5463981.04
198,2017-07-01,5409305.82
202,2017-10-01,4946909.08
206,2018-01-01,4696004.37
210,2018-04-01,4779561.99
214,2018-07-01,4725598.99
218,2018-10-01,4264626.2
222,2019-01-01,4336067.8
226,2019-04-01,4159125.9299999997
230,2019-07-01,4561954.32
234,2019-10-01,4514439.48
238,2020-01-01,4301917.2
242,2020-04-01,4662269.08
246,2020-07-01,4878550.85
250,2020-10-01,4803246.0
254,2021-01-01,5239698.91
258,2021-04-01,5148463.44
262,2021-07-01,5195248.16
266,2021-10-01,5732326.109999999
270,2022-01-01,4449606.88
