,quarter,npo_sum
1,2005-01-01,10854136.45
4,2005-04-01,22736826.3
7,2005-07-01,135049582.31
11,2005-10-01,17083189.36
15,2006-01-01,21063142.78
19,2006-04-01,24819051.07
23,2006-07-01,31270883.49
27,2006-10-01,32068077.709999997
31,2007-01-01,27238133.61
35,2007-04-01,24801236.91
39,2007-07-01,28375822.88
43,2007-10-01,20915131.020000003
47,2008-01-01,27646016.810000002
51,2008-04-01,25739886.21
55,2008-07-01,25977911.57
59,2008-10-01,31434461.2
63,2009-01-01,44923593.7
67,2009-04-01,25727281.86
71,2009-07-01,66066889.38
75,2009-10-01,28925114.51
79,2010-01-01,35140558.33
83,2010-04-01,32439182.78
87,2010-07-01,46198913.970000006
91,2010-10-01,35799535.74
95,2011-01-01,52815799.830000006
99,2011-04-01,40927847.74
103,2011-07-01,37427271.75
107,2011-10-01,44714344.370000005
111,2012-01-01,35712093.86
115,2012-04-01,36023358.230000004
119,2012-07-01,58295888.43
123,2012-10-01,61141138.54
127,2013-01-01,49477344.03
131,2013-04-01,49609069.489999995
135,2013-07-01,47965085.26
139,2013-10-01,45498867.8
143,2014-01-01,35634054.43
147,2014-04-01,36463448.339999996
151,2014-07-01,39189136.64
155,2014-10-01,31757819.64
159,2015-01-01,30790195.630000003
163,2015-04-01,27754025.96
167,2015-07-01,26380496.38
171,2015-10-01,74984777.29
175,2016-01-01,25309413.86
179,2016-04-01,13822452.129999999
183,2016-07-01,13197974.5
187,2016-10-01,19589576.110000003
191,2017-01-01,13570327.32
195,2017-04-01,24764843.24
199,2017-07-01,16249240.57
203,2017-10-01,22599397.63
207,2018-01-01,16130632.68
211,2018-04-01,33567508.75
215,2018-07-01,16403460.04
219,2018-10-01,20630975.23
223,2019-01-01,16604761.49
227,2019-04-01,18059859.73
231,2019-07-01,24239857.88
235,2019-10-01,22946796.06
239,2020-01-01,23124051.810000002
243,2020-04-01,23421907.71
247,2020-07-01,25264905.08
251,2020-10-01,28758755.8
255,2021-01-01,32101039.85
259,2021-04-01,17448511.45
263,2021-07-01,24892344.78
267,2021-10-01,26723298.09
271,2022-01-01,21419952.84
