,quarter,clnt_id
9,2005-07-01,197
13,2005-10-01,10
17,2006-01-01,54
21,2006-04-01,141
25,2006-07-01,201
29,2006-10-01,281
33,2007-01-01,470
37,2007-04-01,589
41,2007-07-01,732
45,2007-10-01,621
49,2008-01-01,540
53,2008-04-01,588
57,2008-07-01,1714
61,2008-10-01,1508
65,2009-01-01,1656
69,2009-04-01,1638
73,2009-07-01,1574
77,2009-10-01,1602
81,2010-01-01,1740
85,2010-04-01,1789
89,2010-07-01,1993
93,2010-10-01,2255
97,2011-01-01,2776
101,2011-04-01,3114
105,2011-07-01,3799
109,2011-10-01,3932
113,2012-01-01,4363
117,2012-04-01,947
121,2012-07-01,1041
125,2012-10-01,1157
129,2013-01-01,1122
133,2013-04-01,1086
137,2013-07-01,1053
141,2013-10-01,1012
145,2014-01-01,1007
149,2014-04-01,1021
153,2014-07-01,983
157,2014-10-01,970
161,2015-01-01,959
165,2015-04-01,927
169,2015-07-01,389
173,2015-10-01,405
177,2016-01-01,366
181,2016-04-01,366
185,2016-07-01,1343
189,2016-10-01,1208
193,2017-01-01,1161
197,2017-04-01,1074
201,2017-07-01,1334
205,2017-10-01,1352
209,2018-01-01,1512
213,2018-04-01,1634
217,2018-07-01,1748
221,2018-10-01,1795
225,2019-01-01,1822
229,2019-04-01,1836
233,2019-07-01,1834
237,2019-10-01,1824
241,2020-01-01,1800
245,2020-04-01,2143
249,2020-07-01,2511
253,2020-10-01,2718
257,2021-01-01,2960
261,2021-04-01,3406
265,2021-07-01,3743
269,2021-10-01,4029
273,2022-01-01,2992
